OBJECTID,Fire80_Raster,X,Y,asp2,twi,tmaxjuly_2,tmax,soilmois,slope,ndvi,lulc,lake,evt_aug,elevation,road,river,pcp
8675,0,-719830.1237,2112566.106,2,-46,2,1,1,3,1,8,4,2,3,4,5,1
8676,0,-695630.1237,2113366.106,2,-6,2,1,1,3,2,8,4,2,1,4,5,1
8677,0,-622030.1237,2100666.106,5,129,2,1,1,3,2,3,4,2,2,4,5,1
8678,0,-579630.1237,2101466.106,3,-46,2,1,1,5,1,8,4,2,1,4,4,1
8679,0,-112330.1237,2106166.106,4,143,1,1,1,3,1,8,4,2,1,4,5,1
8680,0,-105730.1237,2102166.106,4,129,2,1,1,2,1,8,4,2,1,4,5,1
8681,0,-93930.12372,2109766.106,2,129,1,1,1,2,1,8,4,2,1,4,5,1
8682,0,-101630.1237,2108566.106,5,129,2,1,1,2,1,8,4,2,1,4,5,1
8683,0,69769.87628,2102766.106,3,129,1,1,1,2,2,3,4,1,1,4,4,1
8684,0,80269.87628,2099266.106,2,143,1,1,1,2,1,8,4,1,2,4,4,1
8685,0,230869.8763,2106366.106,4,129,1,1,1,3,1,3,5,1,1,4,5,1
8686,0,255669.8763,2111266.106,2,-6,1,1,1,2,1,8,5,1,1,4,5,1
8687,0,259069.8763,2107366.106,2,-6,1,1,1,2,1,8,5,1,1,4,5,1
8688,0,259369.8763,2103466.106,3,-6,1,1,1,2,1,8,5,1,1,4,5,1
8689,0,255269.8763,2100366.106,3,-46,1,1,1,2,1,8,5,1,1,4,5,1
8690,0,462769.8763,2107466.106,4,-219,1,1,2,5,1,8,5,1,2,4,2,1
8691,0,462969.8763,2103266.106,2,129,1,1,2,4,1,8,5,1,2,4,2,1
8692,0,501369.8763,2110666.106,2,143,1,1,3,4,1,8,4,1,2,4,3,1
8693,0,499869.8763,2101366.106,5,129,1,1,2,3,1,8,4,1,2,4,3,1
8694,0,-2222230.124,2125266.106,3,-219,1,2,2,5,1,10,4,1,5,3,5,3
8695,0,-2198230.124,2123466.106,5,143,1,2,2,4,1,10,4,1,5,2,5,3
8696,0,-2131830.124,2127566.106,3,-219,1,3,3,5,1,8,4,2,5,1,5,2
8697,0,-2126530.124,2124666.106,3,-46,1,3,3,3,2,8,4,2,4,1,5,2
8698,0,-2132030.124,2121866.106,5,-219,1,3,3,4,1,8,4,2,5,1,5,2
8699,0,-2131530.124,2116566.106,3,-219,1,3,3,5,1,10,4,2,5,1,5,2
8700,0,-1473530.124,2126166.106,5,-219,2,2,1,4,3,3,4,1,3,3,4,2
8701,0,-711530.1237,2125366.106,2,143,2,1,1,4,2,3,4,2,2,4,5,1
8702,0,-719830.1237,2116066.106,3,143,2,1,1,3,1,8,4,2,3,4,5,1
8703,0,-706230.1237,2125566.106,2,-219,2,1,1,4,1,3,4,2,2,4,5,1
8704,0,-692130.1237,2117766.106,5,-6,2,1,1,3,2,5,4,2,1,4,5,1
8705,0,-462630.1237,2128466.106,2,-46,2,1,1,2,2,8,5,2,1,4,5,1
8706,0,-462030.1237,2119766.106,2,129,2,1,1,2,2,3,5,2,1,4,5,1
8707,0,-461130.1237,2117066.106,4,-6,2,1,1,2,2,3,5,2,1,4,5,1
8708,0,-421630.1237,2126766.106,2,-6,2,1,1,3,2,3,5,2,1,4,5,1
8709,0,-421530.1237,2117266.106,3,129,2,1,1,3,2,3,5,2,1,4,5,1
8710,0,-413930.1237,2125566.106,3,129,2,1,1,2,2,3,5,2,1,4,5,1
8711,0,-413130.1237,2115666.106,3,-6,2,1,1,2,2,3,5,2,1,4,5,1
8712,0,137069.8763,2127566.106,5,-219,1,1,1,4,1,8,4,1,2,4,5,1
8713,0,232669.8763,2126066.106,5,-46,1,1,1,3,1,8,5,1,1,4,5,1
8714,0,230969.8763,2120766.106,2,-6,1,1,1,3,1,8,5,1,1,4,5,1
8715,0,259069.8763,2120566.106,4,129,1,1,1,2,1,8,5,1,1,4,5,1
8716,0,378069.8763,2126866.106,5,-46,1,1,2,2,1,8,5,1,2,4,4,1
8717,0,459769.8763,2125966.106,5,143,1,1,2,4,1,8,5,1,2,4,3,1
8718,0,471169.8763,2125366.106,5,-219,1,1,2,4,1,8,5,1,2,4,1,1
8719,0,469769.8763,2117266.106,3,143,1,1,2,4,1,8,5,1,3,4,2,1
8720,0,498969.8763,2122166.106,5,143,1,1,3,3,1,8,4,1,2,4,3,1
8721,0,-2206430.124,2139166.106,4,-219,1,2,2,5,1,10,4,1,5,2,5,3
8722,0,-2203730.124,2135466.106,5,-219,1,2,2,5,1,10,4,1,5,2,5,3
8723,0,-2193330.124,2142666.106,5,-219,1,2,2,5,1,9,4,1,5,2,5,3
8724,0,-2197130.124,2138966.106,3,-219,1,2,2,5,1,9,4,1,5,2,5,3
8725,0,-2183430.124,2143266.106,4,129,1,2,3,5,1,10,4,1,5,2,5,3
8726,0,-1620430.124,2138066.106,4,143,1,2,1,5,1,8,4,1,4,3,3,2
8727,0,-1593630.124,2136066.106,5,-219,1,2,1,5,2,3,4,1,5,3,3,2
8728,0,-1196630.124,2143566.106,1,-46,2,2,1,1,1,11,1,2,2,4,1,1
8729,0,-1170130.124,2142466.106,1,-46,2,2,1,1,1,11,1,2,2,4,2,1
8730,0,-1037030.124,2134466.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8731,0,-930030.1237,2134866.106,3,-219,3,1,2,4,2,3,2,2,3,3,4,1
8732,0,-848530.1237,2133166.106,3,143,3,1,2,4,2,3,3,2,2,4,1,1
8733,0,-611530.1237,2132866.106,2,-219,2,1,1,4,1,8,4,2,1,4,5,1
8734,0,-421230.1237,2142466.106,3,-219,2,1,1,4,2,8,5,2,1,4,5,1
8735,0,-417330.1237,2137666.106,3,-46,2,1,1,2,2,3,5,2,1,4,5,1
8736,0,-414630.1237,2134166.106,3,-46,2,1,1,2,2,8,5,2,1,4,5,1
8737,0,68069.87628,2132066.106,2,-46,1,1,1,2,1,3,4,2,1,4,5,1
8738,0,230069.8763,2138466.106,4,129,1,1,1,2,1,8,5,1,1,4,5,1
8739,0,258869.8763,2137566.106,3,-6,1,1,1,3,1,8,5,1,2,4,5,1
8740,0,263669.8763,2130266.106,3,143,1,1,1,4,1,8,5,1,1,4,5,1
8741,0,463469.8763,2136766.106,2,-6,1,1,2,3,1,8,5,1,2,4,3,1
8742,0,494769.8763,2132466.106,3,143,1,1,3,4,1,8,5,1,2,4,3,1
8743,0,-2189330.124,2159466.106,5,-219,1,2,3,5,1,10,4,1,5,2,5,3
8744,0,-2196430.124,2157066.106,2,-219,1,2,3,5,1,10,4,1,5,2,5,3
8745,0,-2189730.124,2150366.106,5,-219,1,2,3,5,1,10,4,1,5,2,5,3
8746,0,-2189330.124,2145266.106,4,-219,1,2,3,5,1,10,4,1,5,2,5,3
8747,0,-2182930.124,2159366.106,2,-219,1,2,3,5,1,10,4,1,5,2,5,3
8748,0,-2176030.124,2151866.106,2,-219,1,2,3,5,1,10,4,1,5,2,5,3
8749,0,-2155830.124,2153766.106,3,-219,1,2,4,5,1,8,4,1,5,2,5,2
